Area,Postal Code,Distance ( in KMS )
Town Hall,641001,10
R S Puram,641002,8
Lawely Road,641003,10
Peelamedu,641004,3
Singanallur,641005,9
Ganapathy,641006,3
Veera Keralam,641007,14
Kuniamuthur,641008,13
Ram Nagar,641009,6
Perur,641010,20
Saibaba Colony,641011,8
Gandhi Puram,641012,5
Govt College of Technology,641013,10
Coimbatore Civil Aerodrome,641014,6.5
Uppilipalayam,641015,6
Ondipudur,641016,15
Vadamadurai,641017,15
Coimbatore Central,641018,7
Press Colony,641019,20
Perianaickenpalayam,641020,20
Coimbatore Industrial Estate,641021,18
NGGO Colony,641022,13
Podanur,641023,15
Sundrapuram,641024,12
Velandi Palayam,641025,10
Selvapuram,641026,25
Rathnapuri,641027,5
Sowri Palayam,641028,5.3
Gananambika Mills,641029,10
Kavundam Palayam,641030,7.1
Narasimhanaicken Palayam,641031,15
Othakal Mandapam,641032,29
Neelikonam Palayam,641033,8
Thudialur,641034,12
Saravanampatti,641035,5
Nanjunda Puram,641036,18
Pappanaicken Palayam,641037,4.4
Kuppakonam Pudur,641038,7.6
Telengu Palayam,641039,22
Subramaniam Puram,641040,
Vadavalli,641041,13
Kovaipudur,641042,17
Sree Avinashilingam Home Science College,641043,6.6
Siddhapudur,641044,4
Ramanatha Puram,641045,7.3
Bharathiyar University,641046,20
Jothi Puram,641047,17
Chinniam Palayam,641062,13
Alandurai,641101,33
Athikadvu,641102,
Irugur,641103,14
Karamadai,641104,29
Madukkarai,641105,20
Pillur Dam,641106,
Sarkar Sama Kulam,641107,17
Thadagam,641108,24
Thondamuthur,641109,28
Vaiyam Palayam,641110,18
Vellaore,641111,15
Parali Power House,641112,29
Seeliyur,641113,33
Nallur Vayal,641114,39
Chetti Palayam,641201,24
Vadasitham,641262,32
Sirumugai,641302,42
Mahadevapuram,641305,40
Kangayam Palayam,641401,25
Sulur,641402,20
